name,repair_shop_type,repair_scope,contac,region,address,latitude,longitude,available_time
운천점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-275-3868,충청북도,청주시 흥덕구 1순환로 389,36.6555544941012,127.472693442168,N
지북점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-287-7804,충청북도,청주시 상당구 목련로 213-37,36.60743102611196,127.52428845660889,08:30 ~ 18:30
진천점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-533-6792,대구광역시,달서구 상화로 167,35.8101019976124,128.532159113781,08:30 ~ 18:30
진천현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,043-533-5386,충청북도,진천군 진천읍 문진로 1407,36.85149060217856,127.42738599616138,N
청전동부점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-644-8160,충청북도,제천시 용두천로 344,37.1557312069325,128.21789041556,08:30 ~ 19:00
청전점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-653-2277,충청북도,제천시 청전대로6길 2,37.1466197483829,128.205957580252,09:00 ~ 18:00
탑동점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-235-8201,충청북도,청주시 상당구 중고개로 364,36.6316133262008,127.500924800926,N
현대남청주서비스(주),현대,고전압배터리 제외 전 작업 수리 가능,043-292-8204,충청북도,청주시 서원구 남이면 청남로 1817,36.59758623802227,127.47210042433754,08:30 ~ 18:00
현대자동차오송서비스(주),현대,고전압배터리 제외 전 작업 수리 가능,043-232-0880,충청북도,청주시 흥덕구 강내면 가로수로 485,36.62380117259649,127.35343257369964,09:00 ~ 18:00
현대자동차음성서비스,현대,고전압배터리 제외 전 작업 수리 가능,043-883-1771,충청북도,음성군 금왕읍 무극로 145,36.9891491174445,127.577048594033,08:30 ~ 18:00
현대자동차증평서비스,현대,고전압배터리 제외 전 작업 수리 가능,043-838-2044,충청북도,증평군 증평읍 두름로 113,36.7810668437213,127.595268006942,08:30 ~ 18:00
호암남부점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-844-9300,충청북도,충주시 원호암4길 26,36.955188868106,127.937674815336,N
새한자동차공업사 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,033-671-7740,강원특별자치도,양양군 양양읍 남문1길 3,38.0761052777674,128.624854768801,N
(주)경기자동차공업사 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,031-453-2777,경기도,안양시 동안구 시민대로383번길 23,37.3975972596704,126.972515998767,09:00 ~ 18:00
(주)고잔점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,031-484-8572,경기도,안산시 단원구 중앙대로 951,37.316900376025,126.84241141212,N
(주)궁내점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,031-712-6073,경기도,성남시 분당구 대왕판교로 301,37.3707461513659,127.101366428242,08:30 ~ 17:00
(주)동부현대모터스,현대,고전압배터리 제외 전 작업 수리 가능,031-764-8181,경기도,파주시 문산읍 우계로 430-13,37.8582182864383,126.796694002755,08:30 ~ 18:00
동홍점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-763-1475,제주특별자치도,서귀포시 516로 103,33.2629625741963,126.582765130784,08:30 ~ 18:00
삼화점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-723-0337,제주특별자치도,제주시 연삼로 910,33.5119024709526,126.583184386437,N
서귀점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-733-4004,제주특별자치도,서귀포시 정방로 25,33.246512608243954,126.56865508687665,N
성산점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-784-8204,제주특별자치도,서귀포시 성산읍 서성일로 1194,33.446047277553475,126.90612782769134,N
세기자동차공업사 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-713-9118,제주특별자치도,제주시 서광로 77,33.500448801475244,126.5041621833586,09:00 ~ 18:00
아라동부점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-722-7982,제주특별자치도,제주시 간월동로 67,33.4882410319654,126.549192640513,N
아라점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-759-8272,제주특별자치도,제주시 아봉로 11,33.478420793249,126.545228306627,N
연동점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-711-3132,제주특별자치도,제주시 신대로21길 34-1,33.4818499839171,126.500154915583,N
외도점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-743-3655,제주특별자치도,제주시 우평로 345-8,33.4834515173414,126.430037342328,08:30 ~ 18:30
일도점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-757-4594,제주특별자치도,제주시 동광로18길 12,33.5080779559233,126.541835872857,08:30 ~ 17:30
천지자동차공업사 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-732-0070,제주특별자치도,서귀포시 토평공단로139번길 6,33.2938300516821,126.581505996254,08:00 ~ 18:00
한림점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-796-6868,제주특별자치도,제주시 한림읍 일주서로 5697,33.4358041409682,126.277744712103,N
화북점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,064-722-7285,제주특별자치도,제주시 청풍남2길 3,33.51805585941214,126.56458091695364,08:30 ~ 18:00
(주)남부현대모터스,현대,고전압배터리 제외 전 작업 수리 가능,041-564-8000,충청남도,천안시 동남구 광풍로 1765,36.77671276306107,127.14248140403626,08:30 ~ 18:00
(주)남부현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,041-668-1188,경기도,오산시 가장로534번길 17,37.15856146384776,127.03951748564369,09:00 ~ 18:00
(주)동부현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,041-522-1110,경기도,파주시 문산읍 우계로 430-13,37.8582182864383,126.796694002755,08:30 ~ 18:00
계룡현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,042-841-1111,충청남도,계룡시 두마면 왕대로 99,36.25879624171365,127.27888314454565,09:00 ~ 18:00
남천안현대서비스(주),현대,고전압배터리 제외 전 작업 수리 가능,041-578-5533,충청남도,천안시 동남구 천안천변길 79-27,36.78360454462344,127.11771355319117,08:30 ~ 18:30
내포현대서비스(주),현대,고전압배터리 제외 전 작업 수리 가능,041-630-6800,충청남도,홍성군 홍북읍 홍북로453번길 50,36.6509593630165,126.689835286526,N
논산현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,041-734-0797,충청남도,논산시 채운면 계백로 608,36.1759830458813,127.061603141369,09:00 ~ 18:00
보령현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,041-931-5225,충청남도,보령시 신대목재길 6,36.3177751582956,126.537697118537,N
북천안현대서비스(주),현대,고전압배터리 제외 전 작업 수리 가능,041-523-8204,충청남도,천안시 서북구 신당새터2길 28,36.8510002547454,127.158165457586,N
서산현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,041-665-0611,충청남도,서산시 수석순환로 5,36.7816744712317,126.497348626607,N
서일자동차정비(주) 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,041-555-1641,충청남도,천안시 서북구 두정공단1길 143,36.8385558750217,127.154139811281,08:40 ~ 18:00
서천점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,041-952-4984,경기도,용인시 기흥구 서그내로53번길 3-29,37.2429368208945,127.07640004812,08:30 ~ 17:30
성일자동차공업사 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,041-956-0909,경기도,고양시 일산동구 성석로 365,37.707866735185874,126.7925442964502,08:30 ~ 18:00
성정점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,041-579-8181,충청남도,천안시 서북구 백석로 226,36.81841912591885,127.13459323410687,08:30 ~ 18:00
아산현대서비스(주),현대,고전압배터리 제외 전 작업 수리 가능,041-531-1122,충청남도,아산시 온천대로 1790-9,36.77303520129077,127.03527057977156,08:30 ~ 18:00
장항점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,041-956-1010,충청남도,서천군 장항읍 장서로44번길 1,36.0117039761933,126.69871822994256,N
태안현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,041-675-5217,충청남도,태안군 태안읍 원이로 79,36.7641071122537,126.287189369387,N
현대공업사,현대,고전압배터리 제외 전 작업 수리 가능,041-836-0108,충청남도,홍성군 광천읍 광천로 185,36.49258973775549,126.61892115956417,N
가경점(주) 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-234-8204,충청북도,청주시 흥덕구 가경로101번길 27,36.6237705816781,127.437601247734,08:30 ~ 18:30
강서점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-237-8277,충청북도,청주시 흥덕구 서현로 14,36.6165746061664,127.42401222341,08:30 ~ 18:00
개신점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-237-3451,충청북도,청주시 서원구 성봉로 161,36.6195819573564,127.451175634908,N
광혜원점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-535-8204,충청북도,진천군 광혜원면 장기길 5,36.98219556236372,127.44108753991614,08:30 ~ 18:30
금릉점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-851-8787,충청북도,충주시 국원대로 254,36.9943952624267,127.928531333791,N
금왕점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-877-8419,충청북도,음성군 금왕읍 무극로 145,36.9891491174445,127.577048594033,08:30 ~ 18:00
남천점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-646-5131,충청북도,제천시 의병대로 134,37.1344629597872,128.21552375063135,N
내덕점(주) 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-216-7777,충청북도,청주시 청원구 1순환로 252-2,36.6634420326707,127.485023087741,08:30 ~ 18:30
단양점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-423-1688,충청북도,단양군 단양읍 삼봉로 239,36.9785254988381,128.366950722074,N
대명공업사 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-646-2003,충청북도,제천시 장평천로 31,37.1241726743073,128.221210258669,09:00 ~ 18:00
대소점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-877-8204,충청북도,음성군 대소읍 대금로 687-2,36.9725698816165,127.512528823723,N
보은점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-544-5294,충청북도,보은군 보은읍 죽전제방길 22-19,36.47790661576601,127.72320897822505,N
봉명점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-274-6633,대전광역시,유성구 유성대로654번길 192,36.349966489163,127.339388510237,N
봉방서부점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-843-8204,충청북도,충주시 애향로 9,36.97535647798226,127.9114992028983,N
분평점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-284-8205,충청북도,청주시 서원구 1순환로 1019-2,36.6081357747148,127.481122179899,08:30 ~ 18:00
사직점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-271-8204,부산광역시,동래구 여고로 32,35.1952743001172,129.067431481052,휴무일
송두점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-534-2338,충청북도,진천군 진천읍 덕금로 106-27,36.86948622681363,127.4623398400508,08:30 ~ 18:00
연수점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-848-8482,인천광역시,연수구 동곡재로 31,37.414606139476376,126.6726772488274,09:00 ~ 18:00
영동현대서비스,현대,고전압배터리 제외 전 작업 수리 가능,043-742-3333,충청북도,영동군 영동읍 기골로 190,36.1874999419064,127.790758088981,N
영운점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-252-8572,충청북도,청주시 상당구 단재로 157,36.615630774386325,127.50009480202574,08:30 ~ 19:00
오송점 블루핸즈,현대,고전압배터리 제외 전 작업 수리 가능,043-234-9219,충청북도,청주시 흥덕구 오송읍 만수1길 4-2,36.6228193037667,127.327473998754,08:30 ~ 17:30
